centreline_id,direction,location,class_type,dt,volume_daily
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-26,1142
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-25,1081
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-24,640
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-23,611
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-22,808
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-21,1029
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-20,1152
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-19,903
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-18,827
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-17,457
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-16,428
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-15,703
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-14,675
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-13,708
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-12,724
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-11,536
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-10,233
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-09,374
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-08,552
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-07,453
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-06,424
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-05,395
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-04,400
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-03,289
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-02,169
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-03-01,374
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-28,265
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-27,116
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-26,470
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-25,323
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-24,183
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-23,353
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-22,479
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-21,468
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-20,399
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-19,362
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-18,125
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-17,170
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-16,216
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-15,321
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-02-14,257
